"Year
of
Death","Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2005,Midwestern,Nebraska,Male,30-40
2005,Midwestern,Nebraska,Female,<10
2005,Midwestern,Nebraska,All,35
2005,Midwestern,North Dakota,Male,10-20
2005,Midwestern,North Dakota,Female,<10
2005,Midwestern,North Dakota,All,19
2005,Midwestern,Ohio,Male,280-290
2005,Midwestern,Ohio,Female,<10
2005,Midwestern,Ohio,All,293
2005,Midwestern,South Dakota,Male,30-40
2005,Midwestern,South Dakota,Female,<10
2005,Midwestern,South Dakota,All,32
2005,Midwestern,Wisconsin,Male,120-130
2005,Midwestern,Wisconsin,Female,<10
2005,Midwestern,Wisconsin,All,125
2005,Southern,Alabama,Male,110-120
2005,Southern,Alabama,Female,<10
2005,Southern,Alabama,All,119
2005,Southern,Arkansas,Male,70-80
2005,Southern,Arkansas,Female,<10
2005,Southern,Arkansas,All,78
2005,Southern,Delaware,Male,10-20
2005,Southern,Delaware,Female,<10
2005,Southern,Delaware,All,18
2005,Southern,District of Columbia,Male,<10
2005,Southern,District of Columbia,Female,<10
2005,Southern,District of Columbia,All,<10
2005,Southern,Florida,Male,468
2005,Southern,Florida,Female,22
2005,Southern,Florida,All,490
2005,Southern,Georgia,Male,180-190
2005,Southern,Georgia,Female,<10
2005,Southern,Georgia,All,184
2005,Southern,Kentucky,Male,110-120
2005,Southern,Kentucky,Female,<10
2005,Southern,Kentucky,All,116
2005,Southern,Louisiana,Male,60-70
2005,Southern,Louisiana,Female,<10
2005,Southern,Louisiana,All,67
2005,Southern,Maryland,Male,90-100
2005,Southern,Maryland,Female,<10
2005,Southern,Maryland,All,95
2005,Southern,Mississippi,Male,60-70
2005,Southern,Mississippi,Female,<10
2005,Southern,Mississippi,All,62
2005,Southern,North Carolina,Male,190-200
2005,Southern,North Carolina,Female,<10
2005,Southern,North Carolina,All,203
2005,Southern,Oklahoma,Male,90-100
2005,Southern,Oklahoma,Female,<10
2005,Southern,Oklahoma,All,103
2005,Southern,South Carolina,Male,70-80
2005,Southern,South Carolina,Female,<10
2005,Southern,South Carolina,All,80
2005,Southern,Tennessee,Male,160-170
2005,Southern,Tennessee,Female,<10
2005,Southern,Tennessee,All,165
2005,Southern,Texas,Male,406
2005,Southern,Texas,Female,14
2005,Southern,Texas,All,420
2005,Southern,Virginia,Male,180-190
2005,Southern,Virginia,Female,<10
2005,Southern,Virginia,All,192
2005,Southern,West Virginia,Male,50-60
